INFOS GENERALES,,,,,,CONTEXTE DU RÉCIT,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPREINTE CARBONE,SCORES,,,,,,,,,,,,,Copie paramètres globaux,,,,,,,,,,,,,,
TITRE,ANNEE,PAYS,CANAL,TYPE,SAISON,LIEU(X) DE L'ACTION,EPOQUE DU RECIT,TRAITEMENT DU RECIT,TYPE DE MONDE,GENRE,POSITION DANS LE RECIT,GENRE,AGE,ETHNICITÉ,BEAUTE,POIDS,PAYS DE RESIDENCE,TYPE D'HABITAT,LIEU D'HABITAT,Appartement,Colocation,Maison,Studio,Hôtel,Ferme,Alternatif / Communautaire,Ne sait pas / Autre,ACTIVITE,SECTEUR D'ACTIVITE,CATEGORIE SOCIALE,ASPIRATIONS,,,,,,,,,,,,,,,,,,,,,VALEURS / TRAITS DE CARACTÈRE,,,,,,,,,,,,,,,,,,,,,EMPREINTE PERSO,CONSOMMATION & MATERIALISME,CONSOMMATION & MATERIALISME,MODES DE VIE,MODES DE VIE,RAPPORT AU VIVANT,RAPPORT AU VIVANT,CRISE ENVIRONNEMENTALE,CRISE ENVIRONNEMENTALE,Y A-T-IL UNE PRISE DE RECUL ?,EST-CE NECESSAIRE ?,Label / corpus,TYPOLOGIE,Corpus,Année,Pays,Canal,Type,Lieux action,Epoque,Traitement,Monde,Genre,Conso,Vie,Vivant,Climat,Recul,Nécessité
Une nuit,2023,France,SALLE DE CINÉMA,FILM,,"France, Paris",2020-2030,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Comédie-romantique,"Protagoniste (""le/la gentil.le"")",Féminin,Entre 30 et 50 ans,Caucasien/ne,4,,France,Appartement,Urbain,Urbain,,,,,,,,Inconnue,Autre,Classe aisée,"Amour, Famille, Apaisement",Amour,Famille,Apaisement,,,,,,,,,,,,,,,,,,Je ne sais pas,Je ne sais pas,,,,,,,,,,,,,,,,,,,,Entre 2 et 10 tonnes,-1,Rapport un peu léger aux biens matériels (smartphones détruits etc),0,,0,,0,,"Non applicable, les scores obtenus sont neutres ou positifs","Non applicable, les scores obtenus sont neutres ou positifs",,N-N-N-N,,2023,France,SALLE DE CINÉMA,FILM,"France, Paris",2020-2030,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Comédie-romantique,-1,0,0,0,"Non applicable, les scores obtenus sont neutres ou positifs","Non applicable, les scores obtenus sont neutres ou positifs"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-N-N-N,,2023,France,SALLE DE CINÉMA,FILM,"France, Paris",2020-2030,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Comédie-romantique,-1,0,0,0,"Non applicable, les scores obtenus sont neutres ou positifs","Non applicable, les scores obtenus sont neutres ou positifs"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-N-N-N,,2023,France,SALLE DE CINÉMA,FILM,"France, Paris",2020-2030,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Comédie-romantique,-1,0,0,0,"Non applicable, les scores obtenus sont neutres ou positifs","Non applicable, les scores obtenus sont neutres ou positifs"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-N-N-N,,2023,France,SALLE DE CINÉMA,FILM,"France, Paris",2020-2030,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Comédie-romantique,-1,0,0,0,"Non applicable, les scores obtenus sont neutres ou positifs","Non applicable, les scores obtenus sont neutres ou positifs"
"David Brent, Life on the road",2016,UK,NETFLIX,FILM,,UK,2010-2020,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Comédie,"Protagoniste (""le/la gentil.le"")",Masculin,Entre 50 et 70 ans,Caucasien/ne,2,,UK,Appartement,Periurbain,Periurbain,,,,,,,,Représentant de commerce,Commerce,Classe moyenne,"Amitiés, Reconnaissance sociale",Amitiés,Reconnaissance sociale,,,,,,,,,,,,,,,,,,,"Courage / perseverance, Générosité",Courage / perseverance,Générosité,,,,,,,,,,,,,,,,,,,Entre 2 et 10 tonnes,-1,"Voiture omniprésente, autosolisme",1,,0,,0,,"Peut-être un peu, en filigrane, par petites touches",Tout n'était pas indispensable,,N-N-N-N,,2016,UK,NETFLIX,FILM,UK,2010-2020,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Comédie,-1,1,0,0,"Peut-être un peu, en filigrane, par petites touches",Tout n'était pas indispensable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-N-N-N,,2016,UK,NETFLIX,FILM,UK,2010-2020,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Comédie,-1,1,0,0,"Peut-être un peu, en filigrane, par petites touches",Tout n'était pas indispensable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-N-N-N,,2016,UK,NETFLIX,FILM,UK,2010-2020,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Comédie,-1,1,0,0,"Peut-être un peu, en filigrane, par petites touches",Tout n'était pas indispensable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-N-N-N,,2016,UK,NETFLIX,FILM,UK,2010-2020,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Comédie,-1,1,0,0,"Peut-être un peu, en filigrane, par petites touches",Tout n'était pas indispensable
Survival of the thickest,2022,USA,NETFLIX,SÉRIE,1,"USA, New-York",2020-2030,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Comédie-romantique,"Protagoniste (""le/la gentil.le"")",Féminin,Entre 30 et 50 ans,Noir.e,2,,USA,Colocation,Urbain,,Urbain,,,,,,,Styliste,Artisanat,Classe aisée,"Amour, Amitiés, Carrière",Amour,Amitiés,Carrière,,,,,,,,,,,,,,,,,,"Créativité / originalité, Ambition, Humour",Créativité / originalité,Ambition,Humour,,,,,,,,,,,,,,,,,,Entre 2 et 10 tonnes,-2,"Voitures présentes, utilisations de taxis, achats de vêtements neufs, voyage en avion. Mais aussi, transports en commun parfois, retouches sur vêtements, colocation.",-2,un billet d'avion est offert sans être utilisé. le personnage prend l'avion jusqu'en Italie seulement pour surprendre quelqu'un.,0,Série qui se passe en pleine ville. Il est montré un seul jardin urbain.,0,,"Pas du tout, tout est montré au premier degré","Pas du tout, on aurait pu raconter la même chose autrement",Global Top 10 Netflix,M-M-N-N,Global Top 10 Netflix,2022,USA,NETFLIX,SÉRIE,"USA, New-York",2020-2030,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Comédie-romantique,-2,-2,0,0,"Pas du tout, tout est montré au premier degré","Pas du tout, on aurait pu raconter la même chose autrement"
,,,,,,,,,,,Personnage secondaire,Masculin,Entre 30 et 50 ans,Noir.e,5,,USA,Appartement,Urbain,Urbain,,,,,,,,Artiste peintre,Culture,Classe aisée,"Amour, Amitiés",Amour,Amitiés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entre 10 et 30 tonnes,,,,,,,,,,,,M-M-N-N,Global Top 10 Netflix,2022,USA,NETFLIX,SÉRIE,"USA, New-York",2020-2030,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Comédie-romantique,-2,-2,0,0,"Pas du tout, tout est montré au premier degré","Pas du tout, on aurait pu raconter la même chose autrement"
